x_value,total_1,total_2
0,1000,1000
1,1002,1000
2,1009,1000
3,1009,997
4,1005,1002
5,1004,1004
6,1006,999
7,1005,1000
8,1002,1000
9,1006,1000
10,1003,1000
11,1003,995
12,1009,997
13,1008,1002
14,1003,1007
15,1011,1005
16,1008,1009
17,1002,1008
18,997,1006
19,993,1012
20,987,1015
21,987,1014
22,988,1010
23,982,1005
24,978,1003
25,979,1006
26,983,1003
27,982,1003
28,979,1002
29,982,1001
30,987,1002
31,991,997
32,986,1003
33,986,1008
34,980,1010
35,982,1009
36,986,1004
37,988,1004
38,994,1008
39,992,1012
40,990,1013
41,987,1013
42,986,1017
43,981,1017
44,989,1015
45,993,1013
46,993,1017
47,991,1012
48,999,1012
49,997,1011
50,1000,1006
51,995,1012
52,1003,1013
53,1004,1018
54,1009,1014
55,1016,1015
56,1022,1015
57,1016,1019
58,1010,1015
59,1015,1018
60,1013,1018
61,1020,1020
62,1016,1019
63,1023,1020
64,1028,1024
65,1028,1019
66,1023,1014
67,1024,1015
68,1029,1016
69,1026,1012
70,1030,1010
71,1036,1013
72,1031,1013
73,1038,1009
74,1042,1007
75,1041,1004
76,1040,1003
77,1038,1008
78,1035,1004
79,1029,1004
80,1036,1010
81,1043,1011
82,1048,1008
83,1056,1014
84,1059,1013
85,1056,1014
86,1050,1015
87,1058,1010
88,1062,1009
89,1068,1007
90,1075,1004
91,1079,1000
92,1087,1001
93,1090,1002
94,1084,1000
95,1088,1003
96,1091,1005
97,1092,1005
98,1089,1006
99,1092,1004
100,1087,1005
101,1084,1005
102,1080,1010
103,1085,1011
104,1091,1007
105,1091,1005
106,1094,1010
107,1095,1014
108,1092,1009
109,1090,1010
110,1092,1005
111,1092,1001
112,1092,1006
113,1092,1011
114,1100,1009
115,1103,1005
116,1103,1008
117,1100,1011
118,1097,1009
119,1099,1005
120,1105,1002
121,1103,999
122,1109,998
123,1117,995
124,1116,994
125,1111,995
126,1108,995
127,1102,990
128,1096,991
129,1103,997
130,1098,995
131,1094,990
132,1088,992
133,1096,993
134,1093,997
135,1096,992
136,1104,998
137,1104,993
138,1106,992
139,1104,994
140,1106,995
141,1101,995
142,1106,993
143,1112,999
144,1120,1000
145,1128,1004
146,1128,1009
147,1125,1013
148,1132,1012
149,1136,1013
150,1140,1011
151,1138,1015
152,1137,1013
153,1133,1012
154,1129,1013
155,1134,1011
156,1136,1011
157,1142,1007
158,1146,1013
159,1154,1017
160,1157,1020
161,1163,1025
162,1160,1027
163,1157,1030
164,1164,1034
165,1171,1034
166,1167,1039
167,1175,1037
168,1178,1041
169,1182,1045
170,1176,1047
171,1183,1047
172,1178,1049
173,1184,1051
174,1179,1047
175,1175,1052
176,1171,1056
177,1169,1052
178,1174,1048
