x_value,total_1,total_2
0,1000,1000
1,995,998
2,1001,1004
3,1005,1010
4,1009,1014
5,1013,1014
6,1008,1018
7,1008,1023
8,1015,1019
9,1014,1021
10,1010,1018
11,1013,1015
12,1015,1016
13,1017,1011
14,1017,1014
15,1012,1020
16,1015,1017
17,1017,1019
18,1018,1014
19,1025,1009
20,1032,1011
21,1039,1011
22,1042,1008
23,1048,1013
24,1046,1017
25,1047,1014
26,1042,1019
27,1036,1015
28,1042,1013
29,1040,1014
30,1037,1014
31,1043,1011
32,1050,1007
33,1057,1010
34,1064,1015
35,1060,1015
36,1062,1018
37,1069,1014
38,1073,1014
39,1081,1014
40,1082,1012
41,1084,1007
42,1081,1004
43,1082,1005
44,1076,1010
45,1078,1007
46,1072,1008
47,1072,1014
48,1069,1011
49,1073,1008
50,1074,1007
51,1074,1004
52,1071,1000
53,1074,1004
54,1071,1000
55,1078,1006
56,1086,1001
57,1092,996
58,1096,999
59,1098,1002
60,1105,1002
61,1105,1005
62,1110,1003
63,1117,1000
64,1114,1006
65,1111,1006
66,1112,1001
67,1113,1001
68,1112,1006
69,1120,1010
70,1120,1010
71,1125,1010
72,1130,1014
73,1126,1018
74,1123,1019
75,1122,1020
76,1122,1025
77,1122,1027
78,1128,1023
79,1135,1018
80,1139,1020
81,1141,1022
82,1148,1026
83,1152,1030
84,1153,1033
85,1153,1029
86,1151,1030
87,1153,1028
88,1148,1029
89,1152,1034
90,1152,1040
91,1146,1036
92,1144,1033
93,1140,1036
94,1137,1039
95,1133,1037
96,1130,1035
97,1135,1037
98,1138,1036
99,1145,1040
100,1145,1038
101,1141,1034
102,1136,1029
103,1144,1028
104,1147,1033
105,1153,1030
106,1153,1033
107,1147,1029
108,1146,1028
109,1149,1027
110,1156,1029
111,1155,1029
112,1155,1030
113,1154,1027
114,1160,1026
115,1157,1023
116,1165,1018
117,1166,1020
118,1164,1026
119,1165,1031
120,1165,1033
121,1168,1029
122,1172,1035
123,1166,1030
124,1172,1028
125,1178,1031
126,1185,1033
127,1188,1030
128,1194,1034
129,1189,1031
130,1194,1036
131,1199,1040
132,1195,1035
133,1201,1033
134,1207,1031
135,1205,1029
136,1211,1029
137,1212,1027
138,1216,1030
139,1216,1025
140,1211,1026
141,1217,1023
142,1222,1024
143,1219,1022
144,1219,1022
145,1216,1017
146,1210,1018
147,1215,1017
148,1213,1020
149,1210,1022
150,1206,1019
151,1205,1021
152,1204,1023
153,1210,1018
154,1205,1014
155,1206,1010
156,1206,1005
157,1200,1003
158,1196,1001
159,1202,1006
160,1209,1009
161,1214,1008
162,1210,1010
163,1206,1014
164,1211,1009
165,1219,1011
166,1218,1006
167,1223,1002
168,1219,1003
169,1222,1008
170,1222,1010
171,1229,1011
172,1237,1013
173,1233,1011
174,1237,1012
175,1239,1011
176,1233,1014
177,1237,1017
178,1231,1017
179,1234,1023
180,1237,1025
181,1235,1025
182,1243,1027
183,1251,1029
184,1255,1032
185,1252,1035
186,1255,1030
187,1250,1033
188,1250,1029
189,1250,1034
190,1252,1034
191,1250,1034
192,1251,1032
193,1249,1033
194,1246,1033
195,1247,1031
196,1251,1036
197,1246,1040
198,1247,1036
199,1246,1035
200,1247,1038
201,1247,1036
202,1252,1031
203,1255,1035
204,1252,1031
205,1249,1027
206,1243,1032
207,1241,1029
208,1236,1033
209,1244,1033
210,1244,1030
211,1238,1026
212,1232,1028
213,1233,1023
214,1237,1022
215,1238,1017
216,1243,1012
217,1249,1007
218,1256,1006
219,1256,1011
220,1262,1007
221,1265,1008
222,1267,1004
223,1273,1005
224,1274,1003
225,1282,1002
226,1283,1001
227,1288,1001
228,1287,1007
229,1294,1005
230,1292,1003
231,1298,1008
232,1295,1013
233,1296,1019
234,1295,1020
235,1298,1017
236,1297,1022
237,1291,1026
238,1295,1029
239,1293,1026
